Student_ID,Age,Gender,Score_ID,High_School_GPA,SAT_Score,University_ID,University_Ranking,Uni_score,Field_of_Study,Internship_ID,Internships_Completed,Carrer metrics_ID,Projects_Completed,Certifications,Years_to_Promotion,Job_Offers,skill_ID,Soft_Skills_Score,Networking_Score,Job_ID,Starting_Salary,Career_Satisfaction,Current_Job_Level,Work_Life_Balance,Entrepreneur_ID,Entrepreneurship
S00017,20,Female,17,3.73,1539,17,116,3.78,Law,17,3,17,2,3,5,3,17,2,5,17,97500,8,Mid,9,17,No
S00018,23,Male,18,3.49,1112,18,472,3.94,Mathematics,18,4,18,0,5,5,5,18,5,2,18,61800,1,Senior,1,18,No
S00019,22,Female,19,3.72,1523,19,131,3.44,Mathematics,19,0,19,8,5,2,5,19,3,4,19,32200,9,Entry,7,19,No
S00020,19,Female,20,2.99,984,20,934,3.1,Mathematics,20,0,20,4,1,4,2,20,5,3,20,45500,8,Senior,8,20,No
S00021,25,Female,21,2.26,1415,21,898,2.54,Medicine,21,0,21,1,5,2,5,21,8,10,21,42200,1,Entry,9,21,No
S00022,29,Male,22,3.39,964,22,483,4,Business,22,2,22,1,1,5,3,22,8,7,22,37400,8,Senior,5,22,No
S00023,23,Female,23,2.41,1217,23,401,3.18,Engineering,23,0,23,8,5,3,2,23,6,10,23,69500,5,Senior,6,23,No
S00024,19,Female,24,2.88,1245,24,201,3.36,Medicine,24,3,24,0,3,4,2,24,9,10,24,48100,3,Mid,5,24,No
S00025,29,Female,25,2.13,1531,25,292,3.36,Engineering,25,0,25,9,5,1,0,25,7,10,25,63900,8,Mid,10,25,No
S00026,22,Female,26,3.65,1142,26,342,3.69,Medicine,26,2,26,2,1,2,4,26,2,8,26,48100,3,Entry,5,26,No
S00027,18,Female,27,2.25,1036,27,991,2.02,Arts,27,1,27,9,2,4,3,27,1,5,27,44600,8,Entry,7,27,No
S00028,29,Female,28,3.81,1146,28,610,2.44,Engineering,28,0,28,6,0,1,2,28,8,2,28,41000,5,Entry,4,28,No
S00029,27,Male,29,3.73,1340,29,216,3.33,Medicine,29,1,29,0,3,2,3,29,1,9,29,50300,8,Mid,6,29,No
S00030,23,Female,30,2.93,944,30,636,3.79,Mathematics,30,4,30,1,5,5,0,30,8,1,30,38300,3,Executive,4,30,No
S00031,29,Female,31,3.49,1557,31,585,3.37,Engineering,31,2,31,5,1,2,0,31,9,5,31,49500,10,Senior,2,31,No
S00032,26,Female,32,3.24,1587,32,366,2.83,Business,32,0,32,8,1,3,2,32,1,3,32,41500,6,Entry,2,32,No
S00033,18,Male,33,3.61,1453,33,890,2.72,Engineering,33,4,33,8,2,2,3,33,7,8,33,29800,6,Mid,4,33,No
S00034,28,Male,34,2.86,988,34,642,3.48,Law,34,4,34,7,5,2,3,34,5,8,34,44600,4,Entry,5,34,No
S00035,28,Female,35,3.57,1127,35,469,3.48,Engineering,35,1,35,2,2,4,3,35,8,1,35,25000,5,Entry,1,35,Yes
S00036,27,Female,36,2.92,1190,36,418,3.21,Medicine,36,3,36,1,0,4,0,36,4,4,36,70300,7,Entry,3,36,No
S00037,29,Female,37,3.88,1321,37,27,2.58,Engineering,37,3,37,0,5,5,1,37,2,10,37,57500,1,Executive,5,37,No
S00038,29,Female,38,2.97,966,38,677,3.85,Arts,38,3,38,8,4,3,1,38,7,8,38,43000,8,Entry,8,38,No
S00039,20,Female,39,2.93,1150,39,455,3.1,Computer Science,39,3,39,4,4,3,3,39,7,9,39,25000,3,Entry,4,39,Yes
S00040,29,Female,40,3.57,940,40,918,3.58,Business,40,2,40,2,5,5,3,40,8,9,40,50200,7,Entry,6,40,Yes
S00041,24,Female,41,3.64,998,41,580,2.43,Law,41,0,41,9,4,1,4,41,9,2,41,53400,9,Mid,4,41,No
S00042,21,Female,42,3.11,1205,42,14,2.69,Mathematics,42,0,42,9,0,2,2,42,6,9,42,56300,2,Entry,5,42,No
S00043,26,Female,43,2.36,1355,43,98,3.75,Medicine,43,2,43,4,3,4,0,43,3,8,43,38400,10,Senior,7,43,No
S00044,20,Male,44,2.94,1490,44,279,2.1,Mathematics,44,1,44,2,4,5,4,44,5,9,44,53200,10,Entry,8,44,Yes
S00045,22,Male,45,3.94,1200,45,940,3.02,Mathematics,45,0,45,8,4,5,3,45,3,9,45,78700,7,Entry,10,45,Yes
S00046,20,Female,46,3.51,1098,46,490,2.96,Engineering,46,4,46,0,5,4,5,46,10,3,46,42200,1,Mid,10,46,No
S00047,24,Male,47,3.62,1558,47,985,3.5,Engineering,47,0,47,0,1,4,1,47,9,5,47,65500,5,Entry,8,47,No
S00048,22,Male,48,2.07,1387,48,961,2.56,Engineering,48,2,48,2,1,1,1,48,5,3,48,49800,7,Mid,7,48,Yes
S00049,26,Male,49,2.94,1005,49,883,2.44,Business,49,1,49,5,3,3,4,49,7,6,49,47900,5,Mid,4,49,Yes
S00050,24,Male,50,3.29,1300,50,759,3.85,Law,50,0,50,1,5,4,1,50,10,10,50,52000,5,Mid,4,50,No
S00051,19,Male,51,3.66,1376,51,624,3.14,Computer Science,51,2,51,0,2,5,1,51,7,5,51,42000,6,Senior,2,51,No
S00052,21,Male,52,2.1,1021,52,207,2.21,Arts,52,4,52,7,0,2,5,52,7,2,52,52100,10,Senior,9,52,No
S00053,26,Female,53,3.7,976,53,864,2.39,Law,53,3,53,9,4,1,2,53,10,3,53,64500,10,Mid,6,53,Yes
S00054,29,Female,54,3.1,1211,54,846,4,Arts,54,4,54,8,5,2,3,54,4,7,54,63500,6,Executive,3,54,No
S00055,19,Male,55,2.39,1011,55,233,2.39,Mathematics,55,4,55,9,5,2,4,55,4,10,55,67200,10,Entry,3,55,No
S00056,27,Male,56,2.63,1581,56,573,3.22,Law,56,1,56,0,0,3,5,56,3,10,56,40600,2,Senior,1,56,Yes
S00057,26,Female,57,2.56,1417,57,597,2.84,Medicine,57,0,57,2,1,2,0,57,4,5,57,50900,10,Entry,2,57,No
S00058,27,Male,58,3.06,1096,58,695,3.77,Computer Science,58,3,58,4,0,5,0,58,9,3,58,82700,10,Entry,5,58,No
S00059,22,Female,59,2.1,997,59,239,3.51,Computer Science,59,2,59,6,1,5,5,59,5,4,59,35400,9,Senior,9,59,No
S00060,19,Female,60,2.32,1358,60,250,3.19,Business,60,3,60,9,0,4,3,60,6,6,60,48300,3,Entry,3,60,No
S00061,21,Female,61,3.63,1129,61,583,2.02,Law,61,0,61,3,1,3,0,61,4,8,61,31800,1,Entry,7,61,No
S00062,29,Male,62,2.27,1067,62,740,3.76,Engineering,62,1,62,5,0,4,5,62,1,7,62,51600,1,Entry,6,62,No
S00063,29,Female,63,2.47,907,63,597,2.89,Computer Science,63,0,63,0,4,2,1,63,7,3,63,65600,9,Entry,3,63,No
S00064,24,Male,64,2.91,1071,64,306,3.86,Law,64,2,64,3,4,5,2,64,7,2,64,75700,6,Entry,4,64,Yes
S00065,29,Female,65,3.03,1259,65,1000,2.99,Engineering,65,3,65,7,3,4,4,65,6,3,65,35000,7,Entry,5,65,No
S00066,25,Female,66,3.53,1094,66,908,3.39,Business,66,4,66,4,0,5,4,66,4,5,66,37600,2,Mid,2,66,No
S00067,20,Male,67,2.89,1168,67,463,2.14,Mathematics,67,0,67,7,2,4,1,67,10,7,67,73700,1,Mid,8,67,Yes
S00068,18,Male,68,3.58,918,68,783,3.49,Mathematics,68,1,68,0,3,1,3,68,8,8,68,25000,2,Mid,7,68,No
S00069,21,Male,69,3.24,1253,69,913,2.68,Law,69,1,69,9,0,3,2,69,8,6,69,40400,3,Entry,9,69,No
S00070,19,Female,70,2.23,948,70,802,2.7,Law,70,3,70,8,2,4,0,70,1,2,70,64600,3,Senior,8,70,No
S00071,25,Male,71,2.31,1363,71,236,2.24,Medicine,71,4,71,3,4,2,4,71,9,2,71,25000,8,Entry,7,71,No
S00072,21,Female,72,2.87,1255,72,291,2.29,Law,72,2,72,8,4,5,4,72,8,10,72,34300,4,Entry,9,72,No
S00073,19,Male,73,2.79,1057,73,39,2.37,Medicine,73,4,73,7,5,5,3,73,2,5,73,68900,1,Senior,10,73,No
S00074,23,Female,74,3.49,965,74,998,2.66,Engineering,74,3,74,7,4,3,2,74,9,5,74,25000,2,Mid,5,74,No
S00075,23,Female,75,3.16,1470,75,718,3.78,Mathematics,75,4,75,1,5,3,5,75,4,1,75,25000,9,Executive,3,75,No
S00076,27,Female,76,2.78,1207,76,183,2.74,Engineering,76,3,76,2,2,1,0,76,10,1,76,62600,2,Entry,6,76,No
S00077,21,Female,77,2.34,1236,77,699,3.45,Mathematics,77,4,77,9,1,4,4,77,6,9,77,74400,9,Mid,9,77,No
S00078,23,Male,78,2.45,1570,78,645,2.17,Mathematics,78,0,78,8,0,1,4,78,2,7,78,71500,5,Entry,6,78,No
S00079,19,Male,79,3.15,1020,79,30,3.18,Computer Science,79,1,79,2,3,4,0,79,10,8,79,25000,4,Senior,3,79,Yes
S00080,27,Female,80,2.85,1303,80,388,2.96,Business,80,3,80,7,5,4,2,80,4,5,80,71900,4,Entry,2,80,No
S00081,29,Male,81,3.03,1546,81,767,3.96,Medicine,81,3,81,4,3,3,2,81,2,3,81,51200,3,Entry,5,81,No
S00082,19,Male,82,2.34,1467,82,143,3.69,Mathematics,82,1,82,6,4,3,2,82,9,3,82,37900,2,Entry,8,82,No
S00083,27,Male,83,3.33,995,83,615,2.91,Computer Science,83,2,83,3,1,4,4,83,9,3,83,36000,8,Mid,8,83,No
S00084,21,Male,84,3.71,1013,84,419,3.55,Arts,84,3,84,7,5,3,5,84,5,1,84,60500,6,Entry,1,84,No
S00085,25,Male,85,2.52,1328,85,74,2.39,Computer Science,85,0,85,3,0,4,1,85,3,3,85,56600,9,Executive,3,85,No
S00086,24,Female,86,2.98,1439,86,55,3.12,Engineering,86,4,86,4,5,3,4,86,3,2,86,71100,2,Senior,5,86,No
S00087,29,Male,87,3.95,901,87,962,2.15,Arts,87,0,87,0,0,2,3,87,1,8,87,40600,1,Senior,1,87,No
S00088,26,Female,88,2.67,1111,88,748,2.7,Computer Science,88,3,88,9,3,4,3,88,8,10,88,42700,8,Senior,6,88,No
S00089,25,Male,89,3.19,1479,89,572,2.45,Law,89,2,89,7,3,5,5,89,3,10,89,62100,8,Senior,4,89,No
S00090,22,Female,90,2.18,1539,90,24,3.44,Business,90,3,90,6,3,2,4,90,4,6,90,38100,5,Senior,9,90,Yes
S00091,19,Male,91,3.21,1232,91,988,2.98,Medicine,91,2,91,4,0,1,4,91,2,5,91,62300,2,Senior,2,91,No
S00092,22,Female,92,2.18,923,92,22,3.5,Law,92,1,92,5,5,3,0,92,8,1,92,33300,10,Senior,10,92,No
S00093,25,Female,93,3.92,1267,93,428,3.03,Arts,93,4,93,0,3,1,2,93,3,2,93,80600,5,Entry,5,93,No
S00094,27,Male,94,3.43,1405,94,32,2.17,Mathematics,94,0,94,7,0,5,5,94,2,2,94,79900,8,Entry,5,94,No
S00095,26,Female,95,3.58,1075,95,863,3.47,Business,95,2,95,8,4,3,0,95,1,7,95,39000,4,Mid,6,95,Yes
S00096,29,Other,96,3.41,1328,96,339,3.67,Mathematics,96,0,96,4,5,1,5,96,10,7,96,50900,2,Entry,5,96,No
S00097,29,Female,97,3.18,1341,97,947,3.81,Computer Science,97,1,97,9,5,2,3,97,2,6,97,51800,3,Entry,10,97,No
S00098,29,Female,98,2.9,1447,98,981,3.14,Law,98,3,98,6,5,1,3,98,2,8,98,48000,3,Mid,10,98,No
S00099,26,Male,99,3.72,1413,99,515,3.51,Engineering,99,2,99,9,1,3,1,99,4,4,99,35000,9,Mid,9,99,Yes
S00100,18,Female,100,3.91,1260,100,512,3.5,Engineering,100,4,100,3,3,2,2,100,1,9,100,51600,3,Mid,1,100,No
S00101,26,Male,101,3,1173,101,70,2.31,Business,101,2,101,5,0,5,2,101,1,8,101,27800,1,Executive,8,101,No
S00102,24,Male,102,3.86,1076,102,672,2.33,Engineering,102,3,102,1,4,1,5,102,6,3,102,73000,7,Mid,6,102,No
S00103,26,Other,103,3.17,1163,103,898,2.14,Medicine,103,3,103,3,2,4,3,103,5,3,103,74000,1,Entry,9,103,No
S00104,25,Male,104,3.08,1085,104,88,2.64,Mathematics,104,4,104,4,4,3,0,104,1,9,104,70200,6,Entry,10,104,No
S00105,18,Female,105,2.91,1426,105,877,2.95,Business,105,4,105,8,1,4,4,105,6,9,105,71300,10,Entry,7,105,No
S00106,29,Female,106,2.42,1178,106,571,4,Business,106,1,106,8,4,4,2,106,8,5,106,61100,4,Entry,3,106,No
S00107,25,Female,107,2.01,1097,107,764,2.86,Engineering,107,0,107,7,3,1,4,107,5,10,107,36400,7,Entry,8,107,No
S00108,25,Other,108,2.48,1248,108,219,3.45,Business,108,2,108,3,3,4,3,108,3,1,108,30300,7,Entry,10,108,No
S00109,28,Male,109,3.02,1320,109,713,3.39,Computer Science,109,1,109,5,2,2,1,109,3,3,109,33900,7,Senior,3,109,Yes
S00110,20,Male,110,2.76,1204,110,589,2.41,Arts,110,0,110,6,5,5,3,110,2,5,110,56800,6,Mid,3,110,No
S00111,18,Male,111,2.9,963,111,767,2.12,Law,111,1,111,0,0,5,4,111,9,4,111,29900,7,Mid,4,111,No
S00112,25,Male,112,3.96,1189,112,759,3.09,Arts,112,4,112,0,4,4,3,112,9,4,112,52600,8,Senior,3,112,Yes
S00113,20,Male,113,2.7,917,113,270,3.4,Mathematics,113,4,113,3,2,3,2,113,7,1,113,58300,3,Entry,6,113,No
S00114,20,Male,114,2.9,963,114,819,4,Law,114,3,114,2,3,4,5,114,1,6,114,47200,5,Mid,7,114,No
S00115,18,Female,115,2.27,1229,115,651,2.72,Engineering,115,2,115,9,5,3,5,115,1,10,115,50600,10,Entry,3,115,No
S00116,28,Female,116,2.1,916,116,78,3.79,Medicine,116,2,116,3,0,5,4,116,4,4,116,89100,9,Senior,3,116,Yes
S00117,22,Male,117,3.55,1342,117,592,2.76,Medicine,117,2,117,8,0,2,4,117,2,1,117,49500,8,Entry,7,117,No
S00118,27,Female,118,3.14,1040,118,10,3.38,Engineering,118,1,118,1,1,3,1,118,3,10,118,56100,6,Entry,10,118,No
S00119,24,Male,119,3.52,1207,119,468,3.2,Mathematics,119,1,119,3,5,5,2,119,2,6,119,67600,9,Entry,9,119,No
S00120,27,Male,120,2.3,1343,120,336,2.11,Engineering,120,2,120,6,3,1,0,120,1,5,120,63600,10,Senior,3,120,Yes
S00121,26,Female,121,3.14,1395,121,636,2.16,Business,121,3,121,1,0,4,1,121,3,5,121,62500,5,Entry,6,121,No
S00122,29,Female,122,2.51,1325,122,186,2.04,Medicine,122,0,122,7,1,3,2,122,7,2,122,54100,2,Senior,5,122,No
S00123,24,Female,123,2.46,1374,123,546,2.74,Arts,123,1,123,9,1,2,5,123,10,1,123,54200,9,Entry,8,123,No
S00124,26,Male,124,2.02,1144,124,121,3.49,Engineering,124,2,124,3,3,4,0,124,9,7,124,25000,5,Entry,9,124,Yes
S00125,25,Female,125,2.26,1349,125,592,2.35,Mathematics,125,4,125,8,0,5,5,125,10,5,125,76000,8,Entry,8,125,No
S00126,29,Female,126,2.62,1250,126,718,3.21,Mathematics,126,1,126,0,5,5,4,126,9,3,126,41100,8,Entry,1,126,No
S00127,19,Female,127,2.23,1498,127,565,2.58,Arts,127,0,127,6,0,5,5,127,8,6,127,63200,4,Mid,7,127,No
S00128,18,Female,128,3.97,1060,128,668,3.59,Law,128,1,128,0,4,3,1,128,6,3,128,46500,4,Mid,8,128,No
S00129,24,Female,129,2.62,1039,129,274,3.6,Arts,129,0,129,9,0,1,4,129,1,6,129,96700,1,Entry,5,129,Yes
S00130,24,Female,130,2.26,1392,130,410,3.55,Mathematics,130,0,130,8,1,1,4,130,8,6,130,37600,5,Entry,4,130,No
S00131,25,Female,131,2.4,1487,131,358,3.05,Medicine,131,1,131,9,2,5,4,131,8,9,131,85500,9,Entry,7,131,No
S00132,22,Other,132,3.18,1430,132,647,2.57,Law,132,0,132,9,3,4,2,132,9,8,132,48100,5,Entry,6,132,No
S00133,20,Female,133,2.13,1292,133,941,3.62,Arts,133,1,133,0,2,2,0,133,10,1,133,61000,5,Entry,2,133,No
S00134,29,Male,134,3.72,1300,134,98,2.37,Business,134,1,134,2,0,4,2,134,6,7,134,50300,6,Mid,9,134,No
S00135,25,Female,135,3.92,949,135,241,2.58,Business,135,3,135,6,5,3,4,135,3,9,135,73800,6,Entry,3,135,Yes
S00136,23,Male,136,2.49,1194,136,557,2.37,Medicine,136,4,136,0,5,1,1,136,6,2,136,52000,8,Mid,1,136,No
S00137,28,Male,137,2.9,1324,137,711,3.35,Business,137,0,137,4,1,2,5,137,8,9,137,54800,1,Mid,3,137,No
S00138,20,Female,138,2.04,911,138,993,3.37,Engineering,138,1,138,5,2,5,4,138,7,6,138,51500,5,Entry,1,138,Yes
S00139,18,Female,139,3.28,1234,139,803,3.31,Law,139,0,139,2,3,5,0,139,8,3,139,58500,9,Entry,10,139,Yes
S00140,20,Female,140,2.83,914,140,948,2.83,Medicine,140,1,140,5,4,3,2,140,3,8,140,36100,3,Senior,7,140,No
S00141,22,Male,141,2.54,927,141,114,2.2,Law,141,1,141,3,2,3,0,141,8,7,141,25000,7,Entry,6,141,Yes
S00142,20,Female,142,2.41,1287,142,487,3.82,Mathematics,142,1,142,5,5,3,2,142,5,8,142,56900,7,Senior,8,142,No
S00143,18,Male,143,3.31,1191,143,789,3.02,Arts,143,4,143,5,4,3,5,143,7,8,143,82000,10,Mid,4,143,No
S00144,22,Other,144,2.83,1149,144,241,2.81,Engineering,144,0,144,3,5,5,0,144,4,7,144,43800,3,Mid,6,144,No
S00145,27,Other,145,2.36,1404,145,156,3.18,Medicine,145,4,145,0,0,5,0,145,3,1,145,61500,7,Mid,3,145,Yes
S00146,24,Female,146,3.38,997,146,352,2.39,Arts,146,4,146,2,0,3,2,146,6,10,146,27800,3,Entry,4,146,No
S00147,24,Female,147,3.13,1236,147,44,2.27,Arts,147,4,147,9,3,5,2,147,9,10,147,41700,6,Entry,6,147,No
S00148,28,Female,148,3.72,938,148,592,2.81,Arts,148,4,148,6,4,3,2,148,4,10,148,50700,8,Senior,5,148,No
S00149,26,Female,149,2.23,937,149,312,2.45,Arts,149,3,149,1,4,2,3,149,9,8,149,49600,8,Mid,2,149,No
S00150,27,Male,150,3.57,1199,150,138,2.49,Arts,150,0,150,3,3,3,5,150,3,5,150,66800,6,Mid,9,150,No
S00151,27,Male,151,3.35,1078,151,663,3.79,Medicine,151,0,151,5,5,3,0,151,6,2,151,25000,2,Entry,2,151,No
S00152,29,Female,152,2.23,1508,152,944,3.06,Business,152,1,152,4,2,2,3,152,5,2,152,47500,1,Entry,8,152,No
S00153,20,Female,153,3.39,1368,153,436,2.97,Arts,153,0,153,5,3,1,3,153,9,2,153,40600,3,Senior,5,153,No
S00154,24,Male,154,2.88,1181,154,754,3.38,Mathematics,154,4,154,4,0,4,4,154,6,9,154,36300,3,Entry,7,154,No
S00155,18,Female,155,3.89,1063,155,143,3.9,Mathematics,155,2,155,8,4,3,3,155,2,5,155,39000,7,Senior,6,155,Yes
S00156,21,Male,156,2.28,1352,156,823,2.22,Engineering,156,0,156,1,1,2,3,156,4,3,156,54100,4,Entry,2,156,No
S00157,21,Female,157,3.29,996,157,299,3.67,Medicine,157,2,157,3,5,2,2,157,5,6,157,52200,2,Mid,4,157,Yes
S00158,22,Female,158,2.76,1208,158,562,3.17,Computer Science,158,3,158,0,1,5,2,158,9,9,158,47100,2,Entry,9,158,Yes
S00159,24,Female,159,3.91,1161,159,262,2.29,Business,159,1,159,6,0,3,1,159,1,9,159,29700,7,Mid,7,159,No
S00160,24,Female,160,2.66,1192,160,512,2.59,Engineering,160,1,160,0,4,2,5,160,9,9,160,46000,8,Entry,1,160,No
S00161,28,Male,161,3.92,1148,161,673,2.96,Mathematics,161,1,161,5,4,1,0,161,10,10,161,66900,5,Mid,4,161,No
S00162,21,Male,162,3.8,1144,162,62,3.38,Arts,162,3,162,9,3,1,5,162,1,4,162,25400,2,Senior,10,162,No
S00163,24,Female,163,2.54,1150,163,567,2.49,Medicine,163,4,163,9,2,4,3,163,1,5,163,39300,3,Entry,3,163,Yes
S00164,28,Female,164,3.61,1022,164,423,3.07,Medicine,164,2,164,8,3,5,3,164,4,1,164,32800,1,Entry,1,164,No
S00165,20,Male,165,3.99,1224,165,396,3.37,Arts,165,0,165,1,1,5,0,165,6,10,165,33400,10,Entry,5,165,No
S00166,23,Female,166,2.51,1580,166,884,2.9,Mathematics,166,4,166,0,4,5,5,166,2,6,166,46400,4,Mid,9,166,No
S00167,29,Male,167,2.87,1400,167,996,3.73,Engineering,167,1,167,9,2,3,2,167,1,2,167,40400,7,Entry,4,167,No
S00168,19,Female,168,3.04,1586,168,31,3.74,Medicine,168,1,168,2,3,1,2,168,4,7,168,37100,10,Entry,2,168,No
S00169,27,Female,169,2.59,965,169,330,2.94,Law,169,4,169,5,2,3,0,169,8,4,169,50300,9,Entry,7,169,No
S00170,26,Male,170,2.03,958,170,949,3.95,Mathematics,170,2,170,6,5,2,0,170,6,4,170,26500,3,Entry,8,170,Yes
S00171,22,Male,171,2.44,1397,171,802,2.15,Mathematics,171,4,171,7,5,4,2,171,5,9,171,79900,4,Entry,2,171,No
S00172,23,Female,172,2.56,1272,172,169,2.01,Business,172,3,172,3,1,4,0,172,1,1,172,41500,6,Entry,10,172,No
S00173,29,Female,173,2.89,1165,173,266,2.76,Engineering,173,1,173,7,2,3,5,173,3,6,173,44400,1,Entry,9,173,No
S00174,29,Female,174,2.34,1552,174,308,3.2,Mathematics,174,2,174,6,5,4,2,174,7,2,174,44900,5,Entry,10,174,No
S00175,29,Female,175,3.75,1135,175,459,3.26,Arts,175,0,175,7,4,3,0,175,10,6,175,35500,10,Mid,8,175,No
S00176,29,Female,176,3.41,1117,176,185,2.95,Mathematics,176,1,176,4,5,5,2,176,3,7,176,68800,5,Entry,4,176,No
S00177,21,Other,177,2.17,1426,177,334,2.25,Engineering,177,4,177,9,2,2,1,177,5,3,177,53900,10,Entry,4,177,No
S00178,28,Female,178,3.3,1340,178,515,2.34,Law,178,2,178,6,2,5,2,178,6,4,178,25000,9,Mid,5,178,No
S00179,27,Female,179,3.31,1549,179,441,3.7,Mathematics,179,1,179,3,3,4,2,179,9,2,179,31400,9,Mid,1,179,No
S00180,24,Male,180,3.91,1305,180,673,3.74,Engineering,180,0,180,0,2,2,3,180,3,7,180,40300,1,Entry,7,180,No
S00181,29,Male,181,2.01,1500,181,391,3.35,Mathematics,181,0,181,2,2,1,5,181,6,9,181,59500,3,Mid,4,181,No
S00182,26,Female,182,2.5,1488,182,772,3.33,Computer Science,182,4,182,9,1,3,2,182,2,5,182,67900,4,Executive,1,182,No
S00183,24,Male,183,3.86,1547,183,935,3.2,Arts,183,3,183,8,2,2,0,183,9,5,183,48000,1,Executive,4,183,No
S00184,18,Female,184,3.86,1368,184,560,2.41,Business,184,4,184,3,3,3,4,184,9,9,184,73800,9,Mid,4,184,Yes
S00185,18,Female,185,3.44,1009,185,254,2.86,Arts,185,2,185,4,3,2,0,185,7,8,185,61600,2,Entry,1,185,Yes
S00186,26,Female,186,3.53,1252,186,586,3.39,Computer Science,186,4,186,2,4,4,3,186,9,1,186,82200,5,Entry,9,186,No
S00187,28,Male,187,2.18,990,187,335,3.07,Arts,187,2,187,5,5,5,0,187,4,2,187,41600,3,Entry,8,187,No
S00188,26,Male,188,3.03,1313,188,400,2.04,Arts,188,3,188,3,1,4,1,188,10,7,188,43900,4,Entry,9,188,No
S00189,21,Male,189,2.46,972,189,166,3.91,Business,189,4,189,4,0,1,4,189,1,3,189,53200,4,Senior,7,189,No
S00190,26,Male,190,2.36,1584,190,260,3.69,Computer Science,190,0,190,6,4,4,4,190,1,6,190,38900,2,Entry,5,190,No
S00191,20,Male,191,3.62,1446,191,4,2.52,Arts,191,2,191,6,2,2,5,191,2,1,191,61700,2,Mid,7,191,No
S00192,24,Female,192,2.27,1197,192,888,3.23,Law,192,2,192,8,5,1,3,192,10,8,192,31500,8,Entry,2,192,No
S00193,23,Female,193,2.94,1544,193,119,3.85,Mathematics,193,0,193,1,1,2,5,193,3,2,193,27800,2,Entry,10,193,No
S00194,25,Female,194,3.88,1182,194,996,2.19,Arts,194,4,194,3,4,5,4,194,2,1,194,49200,10,Executive,7,194,No
S00195,28,Female,195,2.37,1404,195,923,3.01,Medicine,195,3,195,7,3,3,2,195,4,2,195,72200,7,Entry,4,195,No
S00196,26,Male,196,3.96,1097,196,470,2.91,Arts,196,1,196,3,1,5,3,196,8,8,196,57400,1,Entry,5,196,Yes
S00197,22,Female,197,3.99,931,197,470,2.82,Business,197,4,197,2,1,5,5,197,3,10,197,62200,1,Mid,7,197,No
S00198,18,Female,198,3.11,1547,198,785,3.67,Medicine,198,4,198,9,2,5,1,198,4,5,198,75000,10,Mid,2,198,Yes
S00199,20,Male,199,2.34,1240,199,493,2.76,Law,199,2,199,5,1,2,4,199,2,9,199,56500,3,Entry,5,199,Yes
S00200,27,Female,200,2.63,1557,200,738,2.13,Mathematics,200,2,200,2,5,3,4,200,1,3,200,44800,3,Mid,2,200,No
