Student_ID,Score_ID,High_School_GPA,SAT_Score
S00206,206,3.47,927
S00207,207,2,1322
S00208,208,3.19,1390
S00209,209,3.83,1059
S00210,210,2.58,1106
S00211,211,2.37,917
S00212,212,3.3,1002
S00213,213,3.43,1481
S00214,214,3.38,1530
S00215,215,2.64,1550
S00216,216,2.5,1571
S00217,217,3.91,1131
S00218,218,3.85,1559
S00219,219,2.91,1323
S00220,220,3.69,1446
S00221,221,2.9,1138
S00222,222,2.85,1233
S00223,223,2.31,1048
S00224,224,2.85,1522
S00225,225,3.07,1307
S00226,226,2.05,916
S00227,227,2.89,1125
S00228,228,3.56,1551
S00229,229,3.36,1555
S00230,230,3.27,1159
S00231,231,3.82,1573
S00232,232,2.04,1503
S00233,233,3.11,1073
S00234,234,3.57,1104
S00235,235,3.08,1314
S00236,236,2.65,1407
S00237,237,2.27,1052
S00238,238,3.78,1002
S00239,239,2.94,964
S00240,240,3.76,1016
S00241,241,3.17,1564
S00242,242,3.35,1055
S00243,243,3.61,1575
S00244,244,3.32,981
S00245,245,2.8,1417
S00246,246,3.03,966
S00247,247,3.61,1137
S00248,248,2.75,1483
S00249,249,2.78,1506
S00250,250,2.19,1225
S00251,251,3.83,1489
S00252,252,2.18,966
S00253,253,3.3,1075
S00254,254,2.83,1583
S00255,255,2.81,1377
S00256,256,3.36,1154
S00257,257,2.13,962
S00258,258,3.19,1302
S00259,259,3.54,1091
S00260,260,3.66,1228
S00261,261,2.34,970
S00262,262,3.79,962
S00263,263,3.31,1196
S00264,264,3.76,1144
S00265,265,2.97,1418
S00266,266,3.08,1292
S00267,267,3.84,1500
S00268,268,3.8,1076
S00269,269,2.9,1103
S00270,270,2.55,1545
S00271,271,2.79,1493
S00272,272,2.78,1432
S00273,273,2.57,1027
S00274,274,2.54,1094
S00275,275,3.72,1093
S00276,276,2.14,1083
S00277,277,3.36,1146
S00278,278,2.35,1223
S00279,279,2.69,1059
S00280,280,2.12,1521
S00281,281,2.54,965
S00282,282,3.54,1153
S00283,283,3.77,1182
S00284,284,2.44,959
S00285,285,2.93,1017
S00286,286,2.94,1322
S00287,287,3.75,1455
S00288,288,3.53,935
S00289,289,3.03,1430
S00290,290,3.34,990
S00291,291,3.69,1200
S00292,292,2.02,1116
S00293,293,2.81,997
S00294,294,3.81,1355
S00295,295,3.48,1430
S00296,296,3.09,1437
S00297,297,3.06,927
S00298,298,2.7,1475
S00299,299,3.04,1223
S00300,300,3.31,1122
S00301,301,2.84,979
S00302,302,3.43,1462
S00303,303,3.72,1357
S00304,304,2.31,1513
S00305,305,2.9,1075
S00306,306,2.82,1421
S00307,307,3.37,1356
S00308,308,2.5,1322
S00309,309,3.28,999
S00310,310,3.75,1302
S00311,311,2.84,1475
S00312,312,3.82,1279
S00313,313,3.99,1430
S00314,314,2.21,1231
S00315,315,2.47,1217
S00316,316,3.9,1552
S00317,317,3.92,1436
S00318,318,2.2,988
S00319,319,2.03,1503
S00320,320,2.32,1410
S00321,321,3.99,941
S00322,322,2.36,1288
S00323,323,3.01,980
S00324,324,3.7,1301
S00325,325,2.04,1006
S00326,326,3.21,1010
S00327,327,2.55,1176
S00328,328,3.72,1113
S00329,329,2.57,1405
S00330,330,3.37,1020
S00331,331,3.35,1033
S00332,332,2.44,1270
S00333,333,2.07,1156
S00334,334,2.82,1596
S00335,335,2.58,1079
S00336,336,3.62,947
S00337,337,3.6,1498
S00338,338,2.91,918
S00339,339,3.21,945
S00340,340,3.21,1350
S00341,341,3.65,955
S00342,342,2.85,1556
S00343,343,2.55,991
S00344,344,2.53,981
S00345,345,3.07,978
S00346,346,2.9,1561
S00347,347,2.88,1182
S00348,348,2.18,1210
S00349,349,3.44,1059
S00350,350,2.43,1215
S00351,351,2.39,1567
S00352,352,2.83,1055
S00353,353,2.46,1367
S00354,354,3.17,1361
S00355,355,2.74,1016
S00356,356,2.9,1565
S00357,357,3.07,1263
S00358,358,2.41,1530
S00359,359,2.31,1365
S00360,360,3.76,1083
S00361,361,2.87,1559
S00362,362,2.82,1065
S00363,363,2.07,974
S00364,364,3,1171
S00365,365,3.11,1590
S00366,366,3.12,1402
S00367,367,3.41,1462
S00368,368,2.35,1486
S00369,369,2.5,1555
S00370,370,3.62,1242
S00371,371,3.89,1599
S00372,372,2.27,1534
S00373,373,3,1150
S00374,374,2.43,1029
S00375,375,2.12,1257
S00376,376,2.65,1591
S00377,377,2.29,1307
S00378,378,3.42,1394
S00379,379,3.07,1521
S00380,380,2.29,1381
S00381,381,2.02,977
S00382,382,3.62,1413
S00383,383,2.35,1220
S00384,384,3.21,1189
S00385,385,2.67,1196
S00386,386,3.17,1580
S00387,387,2.63,1374
S00388,388,2.17,922
S00389,389,2.45,1071
S00390,390,2.38,1217
S00391,391,2.86,1092
S00392,392,3.32,1580
S00393,393,2.53,1017
S00394,394,2.02,905
S00395,395,3.04,1382
S00396,396,3.21,1031
S00397,397,3.93,992
S00398,398,3.18,1421
S00399,399,2.94,1462
S00400,400,3.15,1193
S00401,401,3.86,1540
S00402,402,3.66,1291
S00403,403,2.65,1148
S00404,404,2.47,1513
S00405,405,2.53,1494
S00406,406,3.01,1316
S00407,407,3.49,1042
S00408,408,3.01,1136
S00409,409,2.14,1186
S00410,410,3.45,1176
S00411,411,3.61,1286
S00412,412,2.58,1281
S00413,413,3.33,1349
S00414,414,2.85,1190
S00415,415,3.78,1068
S00416,416,3.69,1342
S00417,417,3.05,1555
S00418,418,3.38,1083
S00419,419,3.77,944
S00420,420,2.99,1167
S00421,421,2.63,1375
S00422,422,3.51,1152
S00423,423,2.44,1295
S00424,424,2.78,1188
S00425,425,3.73,1111
S00426,426,3.45,1588
S00427,427,2.81,920
S00428,428,2.43,1215
S00429,429,2.71,1463
S00430,430,2.57,1337
S00431,431,2.35,1322
S00432,432,3.49,1132
S00433,433,2.5,1022
S00434,434,2.91,1511
S00435,435,2.77,1113
S00436,436,3.96,1546
S00437,437,2.78,1499
S00438,438,2.16,939
S00439,439,2.18,1231
S00440,440,3.18,1547
S00441,441,3.2,1081
S00442,442,2.84,1164
S00443,443,2.86,1593
S00444,444,2.11,1432
S00445,445,3.03,1331
S00446,446,3.01,1095
S00447,447,2.3,1408
S00448,448,2.21,1346
S00449,449,2.25,1427
S00450,450,2.2,1101
S00451,451,3.22,1504
S00452,452,2.39,1032
S00453,453,2.5,1038
S00454,454,2.35,1568
S00455,455,3.92,1392
S00456,456,3.71,969
S00457,457,2.46,914
S00458,458,2.66,1111
S00459,459,2.42,959
S00460,460,2.98,1151
S00461,461,2.04,1345
S00462,462,3.34,901
S00463,463,3.05,1235
S00464,464,3.8,918
S00465,465,2.33,1460
S00466,466,3.61,977
S00467,467,3.58,1371
S00468,468,2.25,927
S00469,469,2.8,1459
S00470,470,2.34,1507
S00471,471,2.51,1064
S00472,472,2.53,1357
S00473,473,3.11,1075
S00474,474,2.82,1484
S00475,475,3.9,928
S00476,476,2.25,1568
S00477,477,3.95,1178
S00478,478,2.46,1182
S00479,479,3.55,1378
S00480,480,2.68,1418
S00481,481,2.29,1204
S00482,482,3.72,1593
S00483,483,2.62,1008
S00484,484,3.32,1223
S00485,485,3.13,1105
S00486,486,2.94,1133
S00487,487,2.99,1357
S00488,488,3.46,1086
S00489,489,2.18,1381
S00490,490,3.34,1306
S00491,491,3.79,1408
S00492,492,2.12,1419
S00493,493,2.28,952
S00494,494,3.43,1297
S00495,495,2.87,1098
S00496,496,2.81,1290
S00497,497,2.27,1548
S00498,498,3.01,1397
S00499,499,2.25,1071
S00500,500,2.95,985
S00501,501,3.53,1457
S00502,502,2.52,1085
S00503,503,2.96,1055
S00504,504,3.98,1392
S00505,505,3.37,1420
S00506,506,3.68,1526
S00507,507,2.83,1565
S00508,508,3.54,1029
S00509,509,2.08,980
S00510,510,2.25,1283
S00511,511,2.41,1558
S00512,512,2.8,1194
S00513,513,3.69,1168
S00514,514,2.69,1544
S00515,515,3.31,1461
S00516,516,3.42,1434
S00517,517,3.17,1277
S00518,518,2.71,1275
S00519,519,3.15,987
S00520,520,2.68,1523
S00521,521,2.17,1010
S00522,522,3.99,1483
S00523,523,2.25,1053
S00524,524,2.14,1362
S00525,525,3.76,1468
S00526,526,2.6,1055
S00527,527,3.3,1524
S00528,528,2.66,1217
S00529,529,2.78,1458
S00530,530,2.52,1137
S00531,531,2.69,1233
S00532,532,2.82,1005
S00533,533,3.44,1381
S00534,534,3.02,1598
S00535,535,3.89,1570
S00536,536,2.08,1281
S00537,537,3.01,1588
S00538,538,3.17,1160
S00539,539,3.84,1192
S00540,540,2.1,1234
S00541,541,3.15,1554
S00542,542,3.71,1375
S00543,543,2.48,1124
S00544,544,3.75,1454
S00545,545,2.04,1353
S00546,546,3.46,1562
S00547,547,3.87,1195
S00548,548,3.31,1474
S00549,549,2.88,1541
S00550,550,2.09,1362
S00551,551,3.84,1113
S00552,552,2.94,1484
S00553,553,2.06,1515
S00554,554,3.38,1057
S00555,555,2.96,1171
S00556,556,2.25,1137
S00557,557,2.43,1202
S00558,558,2.13,1569
S00559,559,3.15,1520
S00560,560,3.24,1420
S00561,561,3.01,1220
S00562,562,3.63,958
S00563,563,3.72,1257
S00564,564,3.23,1547
S00565,565,2.03,1150
S00566,566,3.39,1335
S00567,567,2.84,1045
S00568,568,3.13,1251
S00569,569,3.3,1469
S00570,570,2.7,1588
S00571,571,3.83,1144
S00572,572,2.27,1459
S00573,573,3.34,1200
S00574,574,2.01,1337
S00575,575,3.85,999
S00576,576,2.23,1379
S00577,577,2.19,1314
S00578,578,2.67,1064
S00579,579,2.75,1537
S00580,580,2.43,1201
S00581,581,3.17,1020
S00582,582,2.89,987
S00583,583,2.07,1116
S00584,584,2.64,1472
S00585,585,3.62,1078
S00586,586,3.38,1062
S00587,587,3.45,1492
S00588,588,3.4,1069
S00589,589,2.62,1200
S00590,590,2.2,1273
S00591,591,2.54,1102
S00592,592,3.66,946
S00593,593,3.96,1362
S00594,594,2.99,1569
S00595,595,2.02,1307
S00596,596,2.28,1093
S00597,597,2.64,1326
S00598,598,3.16,1216
S00599,599,2.15,1378
S00600,600,3.89,1320
S00601,601,2.73,1168
S00602,602,3.83,1380
S00603,603,3.56,1162
S00604,604,3.51,1325
S00605,605,3.21,1065
S00606,606,3.25,1591
S00607,607,3.28,1327
S00608,608,3.26,1296
S00609,609,3.11,1115
S00610,610,3.97,1006
S00611,611,3.46,997
S00612,612,3.55,1381
S00613,613,3.74,1398
S00614,614,2.43,1129
S00615,615,2.17,1156
S00616,616,2.97,942
S00617,617,3.03,1141
S00618,618,3.66,1453
S00619,619,2.89,994
S00620,620,3.14,1087
S00621,621,3.05,1284
S00622,622,2.08,1299
S00623,623,3.23,1405
S00624,624,3.66,1066
S00625,625,2.32,1024
S00626,626,3.19,1572
S00627,627,3.19,986
S00628,628,2.33,1388
S00629,629,2.25,1125
S00630,630,3.96,1556
S00631,631,2.79,1244
S00632,632,2.45,1417
S00633,633,2.34,930
S00634,634,3.34,1195
S00635,635,3.22,1313
S00636,636,3.29,1034
S00637,637,2.18,1424
S00638,638,3.79,903
S00639,639,2.78,1077
S00640,640,2.63,1158
S00641,641,2.92,1551
S00642,642,2.78,964
S00643,643,3.73,1262
S00644,644,3.86,916
S00645,645,2.61,1099
S00646,646,3.73,1443
S00647,647,3.56,1111
S00648,648,3.86,1334
S00649,649,2.49,1172
S00650,650,3.15,1189
S00651,651,2.55,1382
S00652,652,3.65,1133
S00653,653,2.01,1307
S00654,654,3.13,1593
S00655,655,2.68,1045
S00656,656,2.65,1461
S00657,657,3.29,1329
S00658,658,3.7,1331
S00659,659,3.22,1514
S00660,660,3.71,1444
S00661,661,2.53,1396
S00662,662,3.04,988
S00663,663,2.9,1310
S00664,664,2.02,1140
S00665,665,3.11,1122
S00666,666,3.32,1564
S00667,667,3.18,1367
S00668,668,3.47,1468
S00669,669,3.14,1221
S00670,670,2.13,1274
S00671,671,2.23,1011
S00672,672,3.19,1426
S00673,673,2.55,1311
S00674,674,2.16,1168
S00675,675,2.86,1525
S00676,676,3.11,1151
S00677,677,2.66,1273
S00678,678,3.44,1553
S00679,679,3.29,1525
S00680,680,2.67,1349
S00681,681,3.51,1436
S00682,682,3.3,1267
S00683,683,3.27,1154
S00684,684,3.11,1362
S00685,685,2.02,1167
S00686,686,3.39,1025
S00687,687,2.75,1292
S00688,688,3.89,1233
S00689,689,3.64,1464
S00690,690,3.18,1267
S00691,691,2.5,1454
S00692,692,2.41,1577
S00693,693,2.68,1453
S00694,694,2.95,1355
S00695,695,2.59,1587
S00696,696,3.03,966
S00697,697,2.33,965
S00698,698,3.96,1494
S00699,699,2.22,1516
S00700,700,3.86,1299
S00701,701,3.83,1186
S00702,702,3.05,1085
S00703,703,3.45,1183
S00704,704,2.87,1415
S00705,705,3.26,1549
S00706,706,2.68,1590
S00707,707,2.6,1136
S00708,708,3.16,917
S00709,709,3,1313
S00710,710,3.16,908
S00711,711,2.57,1319
S00712,712,2.73,928
S00713,713,2.17,1555
S00714,714,2.1,1247
S00715,715,2.51,1560
S00716,716,2.15,1475
S00717,717,2.21,1349
S00718,718,3.63,1279
S00719,719,2.08,1598
S00720,720,3.32,1265
S00721,721,2.55,1126
S00722,722,3.74,1017
S00723,723,2.97,1311
S00724,724,2.61,1255
S00725,725,3.04,1153
S00726,726,2.76,1442
S00727,727,3.13,1572
S00728,728,2.23,1343
S00729,729,3.99,1580
S00730,730,2.85,980
S00731,731,2.7,945
S00732,732,3.42,948
S00733,733,2.73,1348
S00734,734,3.67,1306
S00735,735,2.91,1182
S00736,736,3.44,1372
S00737,737,2.21,1315
S00738,738,3.69,1499
S00739,739,3.47,1020
S00740,740,2.42,902
S00741,741,2.29,1215
S00742,742,2.63,1359
S00743,743,3.95,1126
S00744,744,2.51,978
S00745,745,2.91,1556
S00746,746,2.06,1443
S00747,747,2.79,970
S00748,748,3.14,1096
S00749,749,3.91,957
S00750,750,3.03,1323
S00751,751,3.64,1368
S00752,752,3.09,1523
S00753,753,2.08,947
S00754,754,2.63,1334
S00755,755,3.15,1084
S00756,756,3.9,1064
S00757,757,3.72,1230
S00758,758,2.46,1229
S00759,759,2.44,1020
S00760,760,2.4,1112
S00761,761,3.84,1406
S00762,762,3.71,1452
S00763,763,3.55,1067
S00764,764,2.79,1445
S00765,765,3.01,1326
S00766,766,2.93,1120
S00767,767,2.51,909
S00768,768,3.01,1019
S00769,769,2.06,1534
S00770,770,2.26,1146
S00771,771,3.77,1259
S00772,772,3.5,1120
S00773,773,2.85,1405
S00774,774,3.03,957
S00775,775,2.74,1359
S00776,776,3.48,1027
S00777,777,3.57,1598
S00778,778,3.53,985
S00779,779,3.45,1003
S00780,780,2.41,1042
S00781,781,2.68,1104
S00782,782,2.94,1540
S00783,783,2.66,937
S00784,784,3.51,1262
S00785,785,2.66,1520
S00786,786,2.28,1208
S00787,787,2.8,951
S00788,788,3.96,900
S00789,789,2.45,910
S00790,790,3.22,1539
S00791,791,2.87,1113
S00792,792,2.14,1455
S00793,793,2.98,1417
S00794,794,3.4,1567
S00795,795,3.03,1314
S00796,796,3.74,907
S00797,797,2.58,904
S00798,798,2.17,1261
S00799,799,3.87,1593
S00800,800,2.76,1011
S00801,801,3.15,1172
S00802,802,3.58,1321
S00803,803,2.65,1164
S00804,804,3.43,1357
S00805,805,2.27,1111
S00806,806,2.58,977
S00807,807,2.29,1565
S00808,808,3.62,1120
S00809,809,2.45,1268
S00810,810,3.43,1246
S00811,811,3.89,924
S00812,812,3.06,1319
S00813,813,3.08,1253
S00814,814,2.92,1316
S00815,815,2.65,1414
S00816,816,2.95,1114
S00817,817,3.21,1011
S00818,818,3.97,1458
S00819,819,3.88,1327
S00820,820,3.72,1598
S00821,821,3.78,1461
S00822,822,2.94,1115
S00823,823,3.31,1312
S00824,824,3.79,1279
S00825,825,2.79,1501
S00826,826,3.92,1131
S00827,827,2.83,1157
S00828,828,3.2,1564
S00829,829,3.42,1155
S00830,830,3.9,1302
S00831,831,2.49,1323
S00832,832,3.49,964
S00833,833,3.04,1089
S00834,834,2.54,1502
S00835,835,3.55,1072
S00836,836,3.1,1527
S00837,837,3.32,1460
S00838,838,2.65,1126
S00839,839,2.96,1480
S00840,840,3.23,1287
S00841,841,2.81,1300
S00842,842,2.4,1537
S00843,843,3.92,1112
S00844,844,3.02,952
S00845,845,3.47,1523
S00846,846,2.82,1570
S00847,847,2.71,1561
S00848,848,2.81,1038
S00849,849,2.82,1317
S00850,850,3.09,1524
S00851,851,3.09,1042
S00852,852,2.99,1408
S00853,853,2.27,1549
S00854,854,2.99,1385
S00855,855,2.34,1336
S00856,856,2.25,1442
S00857,857,3.87,1192
S00858,858,3.21,1519
S00859,859,3.32,1183
S00860,860,2.8,1570
S00861,861,3.82,913
S00862,862,3.28,1533
S00863,863,3.54,1171
S00864,864,2.74,924
S00865,865,3.92,1221
S00866,866,3.64,1580
S00867,867,3.71,1002
S00868,868,2.34,939
S00869,869,2.54,1134
S00870,870,2.57,988
S00871,871,2.54,999
S00872,872,3.71,1043
S00873,873,2.06,981
S00874,874,2.15,1488
S00875,875,2.55,1470
S00876,876,2.4,1128
S00877,877,2.46,1502
S00878,878,3.6,1294
S00879,879,3.13,1412
S00880,880,2.01,1096
S00881,881,2.86,1173
S00882,882,2.82,1489
S00883,883,2.23,1552
S00884,884,3.35,1482
S00885,885,3.4,1461
S00886,886,3.44,1271
S00887,887,3.46,979
S00888,888,2,1134
S00889,889,3.91,1186
S00890,890,3.63,1566
S00891,891,3.81,1471
S00892,892,2.03,1444
S00893,893,3.87,1336
S00894,894,3.62,1026
S00895,895,3.67,1316
S00896,896,2.19,1537
S00897,897,3.48,940
S00898,898,3.92,1368
S00899,899,3.36,1196
S00900,900,3.14,1496
S00901,901,3.89,1500
S00902,902,2.89,941
S00903,903,3.2,1531
S00904,904,2.95,1178
S00905,905,3.87,1358
S00906,906,2.15,932
S00907,907,3,1175
S00908,908,3.37,1564
S00909,909,3.58,989
S00910,910,3.17,1515
S00911,911,3.82,1423
S00912,912,3.88,1059
S00913,913,2.13,1357
S00914,914,2.8,1298
S00915,915,2.05,990
S00916,916,2.66,1480
S00917,917,3.07,1365
S00918,918,3.82,1119
S00919,919,3.69,1318
S00920,920,2.25,1278
S00921,921,2.19,1346
S00922,922,3.18,1045
S00923,923,3.06,1132
S00924,924,2.53,1270
S00925,925,3.8,1133
S00926,926,3.85,1266
S00927,927,2.81,1380
S00928,928,3.78,1472
S00929,929,2.77,1262
S00930,930,3.47,1489
S00931,931,2.95,1410
S00932,932,2.25,994
S00933,933,3.86,1115
S00934,934,2.91,1442
S00935,935,3.47,1034
S00936,936,2.73,982
S00937,937,2.04,1290
S00938,938,2.2,946
S00939,939,2.99,1291
S00940,940,3.38,1284
S00941,941,2.67,1280
S00942,942,3.39,976
S00943,943,3.4,1158
S00944,944,3.41,1503
S00945,945,2.99,1298
S00946,946,3.83,999
S00947,947,2.98,1400
S00948,948,2.9,1282
S00949,949,2.4,1091
S00950,950,2.62,1479
S00951,951,2.08,1501
S00952,952,3.27,1244
S00953,953,2.5,909
S00954,954,2.61,1163
S00955,955,3.54,1167
S00956,956,2.65,1529
S00957,957,2.48,1470
S00958,958,2.34,1094
S00959,959,3.55,1461
S00960,960,2.26,1306
S00961,961,2.91,1195
S00962,962,3.01,996
S00963,963,3.37,1361
S00964,964,3.27,1538
S00965,965,3.62,986
S00966,966,2.09,976
S00967,967,2.59,1382
S00968,968,2.56,1045
S00969,969,2.29,1560
S00970,970,2.58,1010
S00971,971,2.62,1540
S00972,972,3.04,1577
S00973,973,3.33,1196
S00974,974,2.76,1325
S00975,975,3.44,1548
S00976,976,2.67,1233
S00977,977,2.58,1422
S00978,978,3.08,1482
S00979,979,2.05,1570
S00980,980,2.16,1437
S00981,981,2.84,1061
S00982,982,3.89,1329
S00983,983,3.44,1513
S00984,984,2.18,968
S00985,985,3.69,1032
S00986,986,3.46,1088
S00987,987,3.22,1577
S00988,988,3.64,1472
S00989,989,2.81,1178
S00990,990,2.44,1329
S00991,991,3.02,1524
S00992,992,3.1,1441
S00993,993,3.08,1060
S00994,994,3.13,1352
S00995,995,3.9,1069
S00996,996,3.8,1597
S00997,997,3.75,956
S00998,998,3.6,1139
S00999,999,3.89,1257
S01000,1000,2.2,1100
S01001,1001,2.53,1343
S01002,1002,2.99,1201
S01003,1003,3.69,1005
S01004,1004,3.01,1000
S01005,1005,3.5,996
S01006,1006,2.28,1564
S01007,1007,2.5,928
S01008,1008,3.46,1405
S01009,1009,2.33,1564
S01010,1010,2.7,1337
S01011,1011,2.53,1278
S01012,1012,2.7,972
S01013,1013,3.42,1153
S01014,1014,2.74,1415
S01015,1015,3.11,1449
S01016,1016,2.2,919
S01017,1017,3.61,1524
S01018,1018,2.74,1434
S01019,1019,3.3,1320
S01020,1020,3.45,1345
S01021,1021,2.42,1035
S01022,1022,3.77,1404
S01023,1023,3.23,1200
S01024,1024,2.86,1508
S01025,1025,2.36,932
S01026,1026,3.88,1546
S01027,1027,3.51,1177
S01028,1028,2.42,1032
S01029,1029,2.68,1426
S01030,1030,3.62,1025
S01031,1031,3.39,1244
S01032,1032,3.53,916
S01033,1033,2.88,1461
S01034,1034,3.43,1546
S01035,1035,2.77,1529
S01036,1036,2.42,1277
S01037,1037,3.27,959
S01038,1038,3.95,1536
S01039,1039,2.62,1366
S01040,1040,2.92,1527
S01041,1041,3.35,1290
S01042,1042,3.08,1584
S01043,1043,3.69,1086
S01044,1044,3.52,1397
S01045,1045,2.12,1499
S01046,1046,4,1260
S01047,1047,3.5,1348
S01048,1048,3.73,1593
S01049,1049,3.3,1579
S01050,1050,3.71,1080
S01051,1051,2.22,1029
S01052,1052,2.7,1048
S01053,1053,3.75,1371
S01054,1054,2.4,1522
S01055,1055,2.16,1399
S01056,1056,3.58,1548
S01057,1057,3.67,1254
S01058,1058,2.33,1110
S01059,1059,3.71,1557
S01060,1060,3.37,1495
S01061,1061,3.04,929
S01062,1062,3.66,1476
S01063,1063,2.84,923
S01064,1064,2.39,1121
S01065,1065,2.57,1501
S01066,1066,3.01,1517
S01067,1067,3.06,1583
S01068,1068,3.61,1488
S01069,1069,3.58,1479
S01070,1070,3.16,1300
S01071,1071,3.56,1503
S01072,1072,2.38,1411
S01073,1073,2.1,987
S01074,1074,3.75,1364
S01075,1075,2.15,949
S01076,1076,2.49,1002
S01077,1077,3.39,1267
S01078,1078,2.82,1391
S01079,1079,3.75,1457
